kind,destination_slug,destination_name,source_file,target_file,db_table,db_id,db_name,db_image_path,match_status,notes
hotel_candidate,moc-chau,,MocChau/moc-chau-eco-garden-resort.jpg,Backend/static/img/hotels/moc-chau/moc-chau-eco-garden-resort.jpg,hotels,151,Mộc Châu Eco Garden Resort,/img/hotels/eco-garden-moc-chau.jpg,exact,slug match
unmatched,moc-chau,,MocChau/oi-che-trai-tim-moc-chau.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,moc-chau,,MocChau/rung-thong-ban-ang.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,moc-chau,,MocChau/thac-dai-yem.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,moc-chau,,MocChau/thung-lung-man-na-ka.jpg,,,,,,manual_needed,no exact slug match in DB
place_candidate,nha-trang,,NhaTrang/an-cafe-nha-trang.jpg,Backend/static/img/places/nha-trang/an-cafe-nha-trang.jpg,places,410,An Cafe Nha Trang,,exact,slug match
unmatched,nha-trang,,NhaTrang/bao-tang-phong-khong-khong-quan-nha-trang.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,nha-trang,,NhaTrang/cho-hai-san-Bon-bao-nha-trang.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,nha-trang,,NhaTrang/cho-Vinh-Ngoc-nha-trang.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,nha-trang,,NhaTrang/khu-do-thi-sinh-thai-ban-dao-Thanh-Phong-nha-trang.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,nha-trang,,NhaTrang/sailing-club-nha-trang.webp,,,,,,manual_needed,no exact slug match in DB
hotel_candidate,nha-trang,,NhaTrang/Sheraton-nha-trang.webp,Backend/static/img/hotels/nha-trang/sheraton-nha-trang.webp,hotels,90,Sheraton Nha Trang,/img/hotels/sheraton.jpg,exact,slug match
unmatched,nha-trang,,NhaTrang/thap-ba-Ponagar-nha-trang.webp,,,,,,manual_needed,no exact slug match in DB
unmatched,nha-trang,,NhaTrang/trang-trai-phong-thuy-nha-trang.JPG,,,,,,manual_needed,no exact slug match in DB
unmatched,nha-trang,,NhaTrang/vien-hai-duong-hoc-nha-trang.webp,,,,,,manual_needed,no exact slug match in DB
unmatched,ninh-binh,,NinhBinh/chua-bai-inh.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ninh-binh,,NinhBinh/co-o-hoa-lu.jpg,,,,,,manual_needed,no exact slug match in DB
